Empresa	Descripcion Empresa	Comprobante	Descripcion Comprobante	Letra	Serie \ Punto de venta	Numero	Regimen	Informado	Estado Fiscal	Firma Digital	Estadistico	Impositivo	Afecta Caja	Anulado	Motivo Rechazo / Devolucion	Descripcion Motivo Rechazo / Devolucion	Fecha Comprobante	Fecha Ingreso	Emisor	Fecha Vto. Comprobante	Fecha de Entrega	Sucursal	Descripcion Sucursal	Esquema	Descripcion Esquema	Deposito	Descripcion Deposito	Vendedor	Descripcion Vendedor	Sector de venta	Descripcion de Sector de Venta	Supervisor	Descripcion Supervisor	Gerente	Descripcion Gerente	Tipo IVA	Descripcion Tipo IVA	Condicion de Pago	Descripcion Condicion de pago	Fecha de Pago	Numero de Pedido	Fecha pedido	Origen	Tipo de Planilla	Numero de Planilla	Transporte	Descripcion Transporte	Liquidacion	Fecha Liquidacion	Numero de Caja	Fecha caja	Cajero	Cliente	Razon Social	Domicilio	Cod. Postal	Localidad	Provincia	Descripcion	Ramo	Descripcion Ramo	Agrupacion	Descripcion Agrupacion	Area	Descripcion area	Segmento MKT	Descripcion Segmento MKT	Canal MKT	Descripcion Canal MKT	Subcanal	Descripcion Subcanal MKT	Nro. de Linea	Codigo de Articulo	Descripcion de Articulo	Concepto	Descripcion Concepto	Articulo Combo	Combo	Producto Estadistico	Descripcion Producto Estadistico	Numeros Serie	Numeros Activo	Unidades por Bulto	Bultos por Pallets	Peso	Cuenta y Orden	Proveedor Cta. y Orden	Descripcion Proveedor	Nro. rendicion	Tipo de cambio	Motivo de cambio	Descripcion	PROVEEDORES	Descripción PROVEEDORES	Contable	Fecha Asiento	Nro Asiento	Plan Cuentas	Cod Cuenta	Descripción Cuenta	Ctro Costos	Proveedor	Fecha Vigencia del precio de Compra	Precio de compra Bruto	Precio de compra Neto	Bultos Cerrados	Unidades	Bultos con Cargo	Bultos sin Cargo	Bultos Total	Peso Total	Bultos Rechazados	UM Con Cargo	UM Sin Cargo	UM Total	Precio Unitario Bruto	Bonificacion %	Precio Neto Unitario	Subtotal Bruto	Subtotal Bonificado	Subtotal Neto	I.V.A 21%	I.V.A. 27%	I.V.A. 10.5%	Percepción 3337	Percepción 5329	Percepción 212	I.I.B.B(BUENOS AIRES)	I.I.B.B(CAPITAL FEDERAL)	Impuestos Internos	Subtotal Final	Trade Spend Negociacion	Trade Spend SC manual	Trade Spend Bonificacion manual	Trade Spend Iniciativas	Trade Spend Acciones	Trade Spend Troncales	Total Trade Spend	Usuario Aprobador	OFERTAS SCJ 23-1 - COPIA 	DESCUENTO ACUERDO 5%	DESCUENTO ACUERDO 10%	OFERTAS SCJ 22-1	DESCUENTO 12% SCJ	DESCUENTO 14% SCJ	DESCUENTO 5% NIVEA
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		1	2273					NO	NO	SI	NO	0		20/02/2024	20/02/2024	MCOZZO			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	7	AGUIRRE VANESA	7	AGUIRRE VANESA	0		0		RI	RESP. INSCRIPTO	2	CONTADO	31/12/9999	0	20/02/2024	CAJA			0		0					128810	PIRIZ AQUINO NATALIA SOLEDAD (P25)	H. YRIGOYEN 1001	2021	GENERAL PACHECO	B	BUENOS AIRES	0		0		0		1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	3	PERF. Y CASA DE ART LIMP.	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	115841.44	115841.44	115841.44	115841.44	0	0	0	0	0	0	0	0	0	115841.44	0	0	0	0	0	0	0								
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		1	2279					NO	NO	SI	NO	0		20/02/2024	20/02/2024	AGIUSTO			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	11	DUERTO GABRIEL	11	DUERTO GABRIEL	0		0		RI	RESP. INSCRIPTO	2	CONTADO	20/02/2024	0	20/02/2024	CAJA			0		0		170	20/02/2024	AGIUSTO	190203	CORTINAS CARMEN ELSA (P0)	BECKER 2068 2068 2068	940	CASTELAR	B	BUENOS AIRES	0		0		0		1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	1	SPM Y AUTOS. CHICO	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	162852	162852	162852	162852	0	0	0	0	0	0	0	0	0	162852	0	0	0	0	0	0	0								
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		1	2289					NO	NO	SI	NO	0		20/02/2024	20/02/2024	AGIUSTO			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	12	MENDIZABAL JUAN IGNACIO	12	MENDIZABAL JUAN IGNACIO	0		0		RI	RESP. INSCRIPTO	2	CONTADO	31/12/9999	0	20/02/2024	CAJA			0		0		170	20/02/2024	AGIUSTO	127200	CASA LIMPIA SA	GABOTO 6070	441	MAR DEL PLATA	B	BUENOS AIRES	0		1	5% DTO	0		1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	1	SPM Y AUTOS. CHICO	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	260000	260000	260000	260000	0	0	0	0	0	0	0	0	0	260000	0	0	0	0	0	0	0								
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		1	2290					NO	NO	SI	NO	0		20/02/2024	20/02/2024	MCOZZO			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	8	JIMENEZ SOLIS	8	JIMENEZ SOLIS	0		0		RI	RESP. INSCRIPTO	2	CONTADO	31/12/9999	0	20/02/2024	CAJA			0		0					191701	RIESCO ALEJANDRO ANTONIO (FP40)	DARREGUEIRA 999 999	528	BARADERO	B	BUENOS AIRES	0		1	5% DTO	2	5 DTO NIVEA	1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	8	OTROS	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	548348.4	548348.4	548348.4	548348.4	0	0	0	0	0	0	0	0	0	548348.4	0	0	0	0	0	0	0								
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		1	2293					NO	NO	SI	NO	0		20/02/2024	20/02/2024	MCOZZO			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	117	HEIDEL ROMINA	117	HEIDEL ROMINA	0		0		RI	RESP. INSCRIPTO	2	CONTADO	20/02/2024	0	20/02/2024	CAJA			0		0					191643	EUROQUIMICA SA (P40)	AV. SAN MARTÍN 3570	415	LOMAS DEL MIRADOR	B	BUENOS AIRES	0		1	5% DTO	0		1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	3	PERF. Y CASA DE ART LIMP.	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	227370.44	227370.44	227370.44	227370.44	0	0	0	0	0	0	0	0	0	227370.44	0	0	0	0	0	0	0								
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		10	422					NO	NO	SI	NO	0		20/02/2024	20/02/2024	NQUIROS			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	7	AGUIRRE VANESA	7	AGUIRRE VANESA	0		0		RI	RESP. INSCRIPTO	2	CONTADO	20/02/2024	0	20/02/2024	CAJA			0		0		168	20/02/2024	NQUIROS	128810	PIRIZ AQUINO NATALIA SOLEDAD (P25)	H. YRIGOYEN 1001	2021	GENERAL PACHECO	B	BUENOS AIRES	0		0		0		1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	3	PERF. Y CASA DE ART LIMP.	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	168750	168750	168750	168750	0	0	0	0	0	0	0	0	0	168750	0	0	0	0	0	0	0								
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		10	423					NO	NO	SI	NO	0		20/02/2024	20/02/2024	NQUIROS			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	12	MENDIZABAL JUAN IGNACIO	12	MENDIZABAL JUAN IGNACIO	0		0		CF	CONSUMIDOR FINAL	2	CONTADO	31/12/9999	0	20/02/2024	CAJA			0		0		169	20/02/2024	NQUIROS	900114	JUAN TEJERO	CARCARAÑA 1238	297	HURLINGHAM	B	BUENOS AIRES	0		2	12% DTO	0		1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	1	SPM Y AUTOS. CHICO	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	9750	9750	9750	9750	0	0	0	0	0	0	0	0	0	9750	0	0	0	0	0	0	0								
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		10	424					NO	NO	SI	NO	0		20/02/2024	20/02/2024	NQUIROS			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	12	MENDIZABAL JUAN IGNACIO	12	MENDIZABAL JUAN IGNACIO	0		0		CF	CONSUMIDOR FINAL	2	CONTADO	31/12/9999	0	20/02/2024	CAJA			0		0		169	20/02/2024	NQUIROS	900105	SCENATI MARCOS EMILIANO	EINSTEIN 777	297	HURLINGHAM	B	BUENOS AIRES	0		2	12% DTO	0		1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	1	SPM Y AUTOS. CHICO	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	14360	14360	14360	14360	0	0	0	0	0	0	0	0	0	14360	0	0	0	0	0	0	0								
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		10	425					NO	NO	SI	NO	0		20/02/2024	20/02/2024	NQUIROS			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	12	MENDIZABAL JUAN IGNACIO	12	MENDIZABAL JUAN IGNACIO	0		0		CF	CONSUMIDOR FINAL	2	CONTADO	31/12/9999	0	20/02/2024	CAJA			0		0		169	20/02/2024	NQUIROS	900096	LEONARDO GARAY	CAMARGO 2243	297	HURLINGHAM	B	BUENOS AIRES	0		2	12% DTO	0		1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	1	SPM Y AUTOS. CHICO	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	91000	91000	91000	91000	0	0	0	0	0	0	0	0	0	91000	0	0	0	0	0	0	0								
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		10	426					NO	NO	SI	NO	0		20/02/2024	20/02/2024	NQUIROS			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	12	MENDIZABAL JUAN IGNACIO	12	MENDIZABAL JUAN IGNACIO	0		0		CF	CONSUMIDOR FINAL	2	CONTADO	31/12/9999	0	20/02/2024	CAJA			0		0		169	20/02/2024	NQUIROS	900072	JOAQUIN PAEZ	OLASCOAGA 1935	297	HURLINGHAM	B	BUENOS AIRES	0		2	12% DTO	0		1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	1	SPM Y AUTOS. CHICO	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	14360	14360	14360	14360	0	0	0	0	0	0	0	0	0	14360	0	0	0	0	0	0	0								
