Empresa	Descripcion Empresa	Comprobante	Descripcion Comprobante	Letra	Serie \ Punto de venta	Numero	Regimen	Informado	Estado Fiscal	Firma Digital	Estadistico	Impositivo	Afecta Caja	Anulado	Motivo Rechazo / Devolucion	Descripcion Motivo Rechazo / Devolucion	Fecha Comprobante	Fecha Ingreso	Emisor	Fecha Vto. Comprobante	Fecha de Entrega	Sucursal	Descripcion Sucursal	Esquema	Descripcion Esquema	Deposito	Descripcion Deposito	Vendedor	Descripcion Vendedor	Sector de venta	Descripcion de Sector de Venta	Supervisor	Descripcion Supervisor	Gerente	Descripcion Gerente	Tipo IVA	Descripcion Tipo IVA	Condicion de Pago	Descripcion Condicion de pago	Fecha de Pago	Numero de Pedido	Fecha pedido	Origen	Tipo de Planilla	Numero de Planilla	Transporte	Descripcion Transporte	Liquidacion	Fecha Liquidacion	Numero de Caja	Fecha caja	Cajero	Cliente	Razon Social	Domicilio	Cod. Postal	Localidad	Provincia	Descripcion	Ramo	Descripcion Ramo	Agrupacion	Descripcion Agrupacion	Area	Descripcion area	Segmento MKT	Descripcion Segmento MKT	Canal MKT	Descripcion Canal MKT	Subcanal	Descripcion Subcanal MKT	Nro. de Linea	Codigo de Articulo	Descripcion de Articulo	Concepto	Descripcion Concepto	Articulo Combo	Combo	Producto Estadistico	Descripcion Producto Estadistico	Numeros Serie	Numeros Activo	Unidades por Bulto	Bultos por Pallets	Peso	Cuenta y Orden	Proveedor Cta. y Orden	Descripcion Proveedor	Nro. rendicion	Tipo de cambio	Motivo de cambio	Descripcion	PROVEEDORES	Descripción PROVEEDORES	Contable	Fecha Asiento	Nro Asiento	Plan Cuentas	Cod Cuenta	Descripción Cuenta	Ctro Costos	Proveedor	Fecha Vigencia del precio de Compra	Precio de compra Bruto	Precio de compra Neto	Bultos Cerrados	Unidades	Bultos con Cargo	Bultos sin Cargo	Bultos Total	Peso Total	Bultos Rechazados	UM Con Cargo	UM Sin Cargo	UM Total	Precio Unitario Bruto	Bonificacion %	Precio Neto Unitario	Subtotal Bruto	Subtotal Bonificado	Subtotal Neto	I.V.A 21%	I.V.A. 27%	I.V.A. 10.5%	Percepción 3337	Percepción 5329	Percepción 212	I.I.B.B(BUENOS AIRES)	I.I.B.B(CAPITAL FEDERAL)	Impuestos Internos	Subtotal Final	Trade Spend Negociacion	Trade Spend SC manual	Trade Spend Bonificacion manual	Trade Spend Iniciativas	Trade Spend Acciones	Trade Spend Troncales	Total Trade Spend	Usuario Aprobador	OFERTAS SCJ 27-2	OFERTAS SCJ 23-1 - COPIA 	DESCUENTO ACUERDO 5%	DESCUENTO 12% SCJ	OFERTAS NIVEA 4-3	DESCUENTO 11% SCJ	DESCUENTO ACUERDO 8%	OFERTA PH 26-2	DESCUENTO ACUERDO 10%	OFERTAS GRUPO 2000 AL 4-3	DESCUENTO GRUPO EN FACTURA	DESCUENTO 14% SCJ	OFERTAS SCJ 22-1
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		1	2661					NO	NO	SI	NO	0		06/03/2024	06/03/2024	MCOZZO			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	127	SOMOZA MARIA SILVINA	127	SOMOZA MARIA SILVINA	0		0		RI	RESP. INSCRIPTO	2	CONTADO	06/03/2024	0	06/03/2024	CAJA			0		0		202	06/03/2024	MCOZZO	189152	BECCAR SHOP S.R.L.	AV. CENTENARIO 1850	1601	BECCAR	B	BUENOS AIRES	0		1	5% DTO	0		1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	1	SPM Y AUTOS. CHICO	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	1357838.63	1357838.63	1357838.63	1357838.63	0	0	0	0	0	0	0	0	0	1357838.63	0	0	0	0	0	0	0														
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		1	2677					NO	NO	SI	NO	0		06/03/2024	06/03/2024	MCOZZO			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	8	JIMENEZ SOLIS	8	JIMENEZ SOLIS	0		0		RI	RESP. INSCRIPTO	2	CONTADO	06/03/2024	0	06/03/2024	CAJA			0		0		202	06/03/2024	MCOZZO	191701	RIESCO ALEJANDRO ANTONIO (FP40)	DARREGUEIRA 999 999	528	BARADERO	B	BUENOS AIRES	0		1	5% DTO	2	5 DTO NIVEA	1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	8	OTROS	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	198562.79	198562.79	198562.79	198562.79	0	0	0	0	0	0	0	0	0	198562.79	0	0	0	0	0	0	0														
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		1	2682					NO	NO	SI	NO	0		06/03/2024	06/03/2024	AGUTIERREZ			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	12	MENDIZABAL JUAN IGNACIO	12	MENDIZABAL JUAN IGNACIO	0		0		CF	CONSUMIDOR FINAL	2	CONTADO	06/03/2024	0	06/03/2024	CAJA			0		0					900114	JUAN TEJERO	CARCARAÑA 1238	297	HURLINGHAM	B	BUENOS AIRES	0		2	12% DTO	0		1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	1	SPM Y AUTOS. CHICO	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	157450	157450	157450	157450	0	0	0	0	0	0	0	0	0	157450	0	0	0	0	0	0	0														
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		10	501					NO	NO	SI	NO	0		06/03/2024	06/03/2024	NQUIROS			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	12	MENDIZABAL JUAN IGNACIO	12	MENDIZABAL JUAN IGNACIO	0		0		CF	CONSUMIDOR FINAL	2	CONTADO	31/12/9999	0	06/03/2024	CAJA			0		0					900096	LEONARDO GARAY	CAMARGO 2243	297	HURLINGHAM	B	BUENOS AIRES	0		2	12% DTO	0		1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	1	SPM Y AUTOS. CHICO	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	182920	182920	182920	182920	0	0	0	0	0	0	0	0	0	182920	0	0	0	0	0	0	0														
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		10	502					NO	NO	SI	NO	0		06/03/2024	06/03/2024	NQUIROS			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	12	MENDIZABAL JUAN IGNACIO	12	MENDIZABAL JUAN IGNACIO	0		0		CF	CONSUMIDOR FINAL	2	CONTADO	31/12/9999	0	06/03/2024	CAJA			0		0					900096	LEONARDO GARAY	CAMARGO 2243	297	HURLINGHAM	B	BUENOS AIRES	0		2	12% DTO	0		1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	1	SPM Y AUTOS. CHICO	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	57700	57700	57700	57700	0	0	0	0	0	0	0	0	0	57700	0	0	0	0	0	0	0														
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		10	503					NO	NO	SI	NO	0		06/03/2024	06/03/2024	NQUIROS			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	12	MENDIZABAL JUAN IGNACIO	12	MENDIZABAL JUAN IGNACIO	0		0		CF	CONSUMIDOR FINAL	2	CONTADO	31/12/9999	0	06/03/2024	CAJA			0		0					900114	JUAN TEJERO	CARCARAÑA 1238	297	HURLINGHAM	B	BUENOS AIRES	0		2	12% DTO	0		1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	1	SPM Y AUTOS. CHICO	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	167770	167770	167770	167770	0	0	0	0	0	0	0	0	0	167770	0	0	0	0	0	0	0														
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		10	504					NO	NO	SI	NO	0		06/03/2024	06/03/2024	NQUIROS			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	6	MENDOZA RODOLFO	6	MENDOZA RODOLFO	0		0		MT	RESP. MONOTRIBUTO	2	CONTADO	31/12/9999	0	06/03/2024	CAJA			0		0					122771	URRESTARASU BLANCA (P0)	AMERICA 3490 3490	423	VILLA LUZURIAGA	B	BUENOS AIRES	2	TIPO NEGOCIO 2	1	5% DTO	2	5 DTO NIVEA	1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	4	DROGUERIAS	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	304800	304800	304800	304800	0	0	0	0	0	0	0	0	0	304800	0	0	0	0	0	0	0														
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		10	505					NO	NO	SI	NO	0		06/03/2024	06/03/2024	NQUIROS			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	6	MENDOZA RODOLFO	6	MENDOZA RODOLFO	0		0		RI	RESP. INSCRIPTO	2	CONTADO	31/12/9999	0	06/03/2024	CAJA			0		0					191809	RAMIREZ CLAUDIA (P25)	ARIETA 1327	419	SAN JUSTO	B	BUENOS AIRES	2	TIPO NEGOCIO 2	1	5% DTO	2	5 DTO NIVEA	1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	3	PERF. Y CASA DE ART LIMP.	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	238350	238350	238350	238350	0	0	0	0	0	0	0	0	0	238350	0	0	0	0	0	0	0														
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		10	506					NO	NO	SI	NO	0		06/03/2024	06/03/2024	NQUIROS			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	12	MENDIZABAL JUAN IGNACIO	12	MENDIZABAL JUAN IGNACIO	0		0		CF	CONSUMIDOR FINAL	2	CONTADO	31/12/9999	0	06/03/2024	CAJA			0		0					900110	BATISTA JUAN	HORACIO QUIROGA 4123	899	ITUZAINGO	B	BUENOS AIRES	0		2	12% DTO	0		1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	1	SPM Y AUTOS. CHICO	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	286430	286430	286430	286430	0	0	0	0	0	0	0	0	0	286430	0	0	0	0	0	0	0														
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		10	507					NO	NO	SI	NO	0		06/03/2024	06/03/2024	NQUIROS			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	18	MARCHESE ANDREA	18	MARCHESE ANDREA	0		0		RI	RESP. INSCRIPTO	2	CONTADO	31/12/9999	0	06/03/2024	CAJA			0		0					189636	DIAZ RUBEN ALBERTO (P0)	HONORIO LUQUE 6484	412	GREGORIO DE LAFERRERE	B	BUENOS AIRES	0		0		0		1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	1	SPM Y AUTOS. CHICO	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	150130	150130	150130	150130	0	0	0	0	0	0	0	0	0	150130	0	0	0	0	0	0	0														
