Empresa	Descripcion Empresa	Comprobante	Descripcion Comprobante	Letra	Serie \ Punto de venta	Numero	Regimen	Informado	Estado Fiscal	Firma Digital	Estadistico	Impositivo	Afecta Caja	Anulado	Motivo Rechazo / Devolucion	Descripcion Motivo Rechazo / Devolucion	Fecha Comprobante	Fecha Ingreso	Emisor	Fecha Vto. Comprobante	Fecha de Entrega	Sucursal	Descripcion Sucursal	Esquema	Descripcion Esquema	Deposito	Descripcion Deposito	Vendedor	Descripcion Vendedor	Sector de venta	Descripcion de Sector de Venta	Supervisor	Descripcion Supervisor	Gerente	Descripcion Gerente	Tipo IVA	Descripcion Tipo IVA	Condicion de Pago	Descripcion Condicion de pago	Fecha de Pago	Numero de Pedido	Fecha pedido	Origen	Tipo de Planilla	Numero de Planilla	Transporte	Descripcion Transporte	Liquidacion	Fecha Liquidacion	Numero de Caja	Fecha caja	Cajero	Cliente	Razon Social	Domicilio	Cod. Postal	Localidad	Provincia	Descripcion	Ramo	Descripcion Ramo	Agrupacion	Descripcion Agrupacion	Area	Descripcion area	Segmento MKT	Descripcion Segmento MKT	Canal MKT	Descripcion Canal MKT	Subcanal	Descripcion Subcanal MKT	Nro. de Linea	Codigo de Articulo	Descripcion de Articulo	Concepto	Descripcion Concepto	Articulo Combo	Combo	Producto Estadistico	Descripcion Producto Estadistico	Numeros Serie	Numeros Activo	Unidades por Bulto	Bultos por Pallets	Peso	Cuenta y Orden	Proveedor Cta. y Orden	Descripcion Proveedor	Nro. rendicion	Tipo de cambio	Motivo de cambio	Descripcion	PROVEEDORES	Descripción PROVEEDORES	Contable	Fecha Asiento	Nro Asiento	Plan Cuentas	Cod Cuenta	Descripción Cuenta	Ctro Costos	Proveedor	Fecha Vigencia del precio de Compra	Precio de compra Bruto	Precio de compra Neto	Bultos Cerrados	Unidades	Bultos con Cargo	Bultos sin Cargo	Bultos Total	Peso Total	Bultos Rechazados	UM Con Cargo	UM Sin Cargo	UM Total	Precio Unitario Bruto	Bonificacion %	Precio Neto Unitario	Subtotal Bruto	Subtotal Bonificado	Subtotal Neto	I.V.A 21%	I.V.A. 27%	I.V.A. 10.5%	Percepción 3337	Percepción 5329	Percepción 212	I.I.B.B(BUENOS AIRES)	I.I.B.B(CAPITAL FEDERAL)	Impuestos Internos	Subtotal Final	Trade Spend Negociacion	Trade Spend SC manual	Trade Spend Bonificacion manual	Trade Spend Iniciativas	Trade Spend Acciones	Trade Spend Troncales	Total Trade Spend	Usuario Aprobador	DESCUENTO 14% SCJ	OFERTAS SCJ 27-2	DESCUENTO ACUERDO 10%	OFERTAS NIVEA 4-3	DESCUENTO ACUERDO 5%	DESCUENTO ACUERDO 8%	OFERTA PH 26-2	DESCUENTO GRUPO EN FACTURA	OFERTAS GRUPO 2000 AL 4-3	DESCUENTO 11% SCJ	DESCUENTO 12% SCJ	OFERTAS SCJ 22-1
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		1	2698					NO	NO	SI	NO	0		08/03/2024	08/03/2024	AGIUSTO			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	3	ANTONANZAS MARTIN	3	ANTONANZAS MARTIN	0		0		RI	RESP. INSCRIPTO	2	CONTADO	31/12/9999	0	08/03/2024	CAJA			0		0		211	08/03/2024	AGIUSTO	155005	CODISER S.A. 1 (FP0)	MATHEU 1982	1602	BOULOGNE	B	BUENOS AIRES	0		3	14% DTO	2	5 DTO NIVEA	1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	2	MAYORISTAS	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	6208817.52	6208817.52	6208817.52	6208817.52	0	0	0	0	0	0	0	0	0	6208817.52	0	0	0	0	0	0	0													
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		1	2705					NO	NO	SI	NO	0		08/03/2024	08/03/2024	AGIUSTO			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	6	MENDOZA RODOLFO	6	MENDOZA RODOLFO	0		0		MT	RESP. MONOTRIBUTO	2	CONTADO	08/03/2024	0	08/03/2024	CAJA			0		0		211	08/03/2024	AGIUSTO	111706	PICABEA YESICA PAOLA (P0)	ARIETA 492 492	423	VILLA LUZURIAGA	B	BUENOS AIRES	2	TIPO NEGOCIO 2	1	5% DTO	2	5 DTO NIVEA	1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	3	PERF. Y CASA DE ART LIMP.	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	531040	531040	531040	531040	0	0	0	0	0	0	0	0	0	531040	0	0	0	0	0	0	0													
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		10	511					NO	NO	SI	NO	0		08/03/2024	08/03/2024	NQUIROS			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	12	MENDIZABAL JUAN IGNACIO	12	MENDIZABAL JUAN IGNACIO	0		0		CF	CONSUMIDOR FINAL	2	CONTADO	31/12/9999	0	08/03/2024	CAJA			0		0		210	08/03/2024	NQUIROS	900129	FRANCO OCAMPO	LAS MARGARITAS 5051	2110	LOMA HERMOSA	B	BUENOS AIRES	0		2	12% DTO	0		1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	1	SPM Y AUTOS. CHICO	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	1036640	1036640	1036640	1036640	0	0	0	0	0	0	0	0	0	1036640	0	0	0	0	0	0	0													
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		10	512					NO	NO	SI	NO	0		08/03/2024	08/03/2024	NQUIROS			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	3	ANTONANZAS MARTIN	3	ANTONANZAS MARTIN	0		0		RI	RESP. INSCRIPTO	2	CONTADO	31/12/9999	0	08/03/2024	CAJA			0		0		210	08/03/2024	NQUIROS	136143	RONSIL SA (P40)	SAN LORENZO 1136	2111	MARTIN CORONADO	B	BUENOS AIRES	0		0		0		1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	2	MAYORISTAS	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	97920	97920	97920	97920	0	0	0	0	0	0	0	0	0	97920	0	0	0	0	0	0	0													
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		10	513					NO	NO	SI	NO	0		08/03/2024	08/03/2024	NQUIROS			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	7	AGUIRRE VANESA	7	AGUIRRE VANESA	0		0		RI	RESP. INSCRIPTO	2	CONTADO	31/12/9999	0	08/03/2024	CAJA			0		0		210	08/03/2024	NQUIROS	111751	DISTRIBUIDORA TRELAC SRL (P30)	COLECTORA OESTE 1840 1840	1938	GARIN	B	BUENOS AIRES	0		1	5% DTO	0		1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	2	MAYORISTAS	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	29070	29070	29070	29070	0	0	0	0	0	0	0	0	0	29070	0	0	0	0	0	0	0													
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		10	514					NO	NO	SI	NO	0		08/03/2024	08/03/2024	NQUIROS			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	3	ANTONANZAS MARTIN	3	ANTONANZAS MARTIN	0		0		RI	RESP. INSCRIPTO	2	CONTADO	31/12/9999	0	08/03/2024	CAJA			0		0		210	08/03/2024	NQUIROS	191699	PUCCIO P. PUCCIO C. Y ROSANA S DE (P0)	AV. PRESIDENTE JUAN D. PERON 9884	2112	PABLO PODESTA	B	BUENOS AIRES	0		1	5% DTO	2	5 DTO NIVEA	1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	1	SPM Y AUTOS. CHICO	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	97600	97600	97600	97600	0	0	0	0	0	0	0	0	0	97600	0	0	0	0	0	0	0													
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		10	515					NO	NO	SI	NO	0		08/03/2024	08/03/2024	NQUIROS			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	12	MENDIZABAL JUAN IGNACIO	12	MENDIZABAL JUAN IGNACIO	0		0		CF	CONSUMIDOR FINAL	2	CONTADO	31/12/9999	0	08/03/2024	CAJA			0		0		210	08/03/2024	NQUIROS	900083	CILIA CHRISTIAN	GRAL PICO 9891	2110	LOMA HERMOSA	B	BUENOS AIRES	0		2	12% DTO	0		1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	1	SPM Y AUTOS. CHICO	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	9000	9000	9000	9000	0	0	0	0	0	0	0	0	0	9000	0	0	0	0	0	0	0													
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		10	516					NO	NO	SI	NO	0		08/03/2024	08/03/2024	NQUIROS			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	12	MENDIZABAL JUAN IGNACIO	12	MENDIZABAL JUAN IGNACIO	0		0		CF	CONSUMIDOR FINAL	2	CONTADO	31/12/9999	0	08/03/2024	CAJA			0		0		210	08/03/2024	NQUIROS	1	JORGE DANIEL	VARELA 843	2123	CIUDAD AUTONOMA BUENOS AIRES	C	CAPITAL FEDERAL	0		2	12% DTO	0		1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	1	SPM Y AUTOS. CHICO	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	26130	26130	26130	26130	0	0	0	0	0	0	0	0	0	26130	0	0	0	0	0	0	0													
1	J.J. MENDIZABAL S.A.	ANTCC	ANTICIPO		10	517					NO	NO	SI	NO	0		08/03/2024	08/03/2024	NQUIROS			1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	127	SOMOZA MARIA SILVINA	127	SOMOZA MARIA SILVINA	0		0		RI	RESP. INSCRIPTO	2	CONTADO	31/12/9999	0	08/03/2024	CAJA			0		0		210	08/03/2024	NQUIROS	120570	VILLAR CRISTINA ELENA	JUNCAL 900	1603	MARTINEZ	B	BUENOS AIRES	0		1	5% DTO	0		1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	1	SPM Y AUTOS. CHICO	1	0		0	ANTICIPO PENDIENTE DE IMPUTAR	NO	0	0				0	0	0		0		0		0				SI		0	1	1140101	DEUDORES POR VENTAS	0					0	0	0	0	0	0	0	0	0	0	0	0	136400	136400	136400	136400	0	0	0	0	0	0	0	0	0	136400	0	0	0	0	0	0	0													
1	J.J. MENDIZABAL S.A.	DVMPY	NOTA DE CREDITO MIPYME	A	9	15	ELECTRÓNICO	SI		="74109892704589"	SI	SI	SI	NO	3	CERRADO	08/03/2024	08/03/2024	AGIUSTO		08/03/2024	1	CASA CENTRAL	1	FUERZA DE VENTAS 1	1	DEPOSITO CASA CENTRAL	117	HEIDEL ROMINA	117	HEIDEL ROMINA	0		0		RI	RESP. INSCRIPTO	1	CTA CTE	31/12/9999	0	08/03/2024	CAJA			0		0		211	08/03/2024	AGIUSTO	125570	GLOBAL MEDICA S.A	FERRE 1687	2123	CIUDAD AUTONOMA BUENOS AIRES	C	CAPITAL FEDERAL	0		0		0		1	SEGMENTO POR DEFECTO	1	CANAL POR DEFECTO	6	FARMACIA	1	1063	OFF CREMA FAMILY LLAVERO 60G/24 AR	0		NO	0	0				24	264	1.9	NO	0		0		0		1003	SCJ	SI		0	1	4110101	VENTA DE MERCADERIAS	0	1 - SC JOHNSON & SON ARG SAIC	11/10/23	37854.312	37854.312	-20	0	-20	0	-20	0	20	-37.92	0	-37.92	-55267.29	0	55267.29	-1105345.8	0	-1105345.8	-232122.62	0	0	0	-33160.37	0	0	-66320.74	0	-1436949.54	0	0	0	0	0	0	0													
